Num,First Name,Middle Name,Last Name,Email,Contact No,Job Vacancy,Resume,Keywords,Comment,Date of Application,Consent to keep data,Expected result,Output
TC#1,,Vinh,Huy,vinhhuy09@gmail.com,,,,,,,,Error,
TC#2,Tran,,Huy Tran 02,vinhhuy09@gmail.com,,,,,,,,Success,
TC#3,Tran,Vinh,,vinhhuy09@gmail.com,,,,,,,,Error,
TC#4,,,,vinhhuy09@gmail.com,,,,,,,,Error,
TC#5,Tran,Vinh,Huy,vinhhuy09@gmail.com,,,,,,,,Success,
TC#6,Tran,Vinh,Huy2,,,,,,,,,Error,
TC#7,Tran,Vinh,Huy2,email.com,,,,,,,,Error,
TC#8,Tran,Vinh,Huy,vinhhuy77@gmail.com,,,,,,,,Success,
TC#9,Tran,Vinh,Huy,vinhhuy77@gmail.com,A0988!hj,,,,,,,Error,
TC#10,Tran,Vinh,Huy,vinhhuy77@gmail.com,,,,,,,,Success,
TC#11,Tran,Vinh,Huy,vinhhuy77@gmail.com,1+1,,,,,,,Error,
TC#12,Tran,Vinh,Huy,vinhhuy77@gmail.com,,,,,,,,Success,
TC#13,Tran,Vinh,Huy,vinhhuy77@gmail.com,,,C:\Users\vinhh\Downloads\MoTaDoAnCuoiKy (1) (1).txt,,,,,Success,
TC#14,Trav,Vinh,Huy,vinhhuy77@gmail.com,,,C:\Users\vinhh\Downloads\MoTaDoAnCuoiKy (1) (1).txt,,,,,Error,
